id;endereco;cep;cidade;estado;coordenadas_gps
1;customized Filmes Strategist;Forward Unidos;Peixe e-markets;back-end Forward;Eletrônicos
2;Avenida Integration;ouro bandwidth-monitored;Buckinghamshire Ceará;Rústico quantifying;motivating Benin cross-platform
3;repurpose circuit;Bacon prata Borracha;Benin Boliviano Mato;Inteligente wireless petróleo;Quetzal amarelo
4;motivating Vatu copy;Money backing Pequeno;interactive Rodovia Centralized;Facilitator;Account
5;Agent RSS Buckinghamshire;mobile discrete transform;Marginal Travessa coral;disintermediate;Alameda proactive
6;Creative Buckinghamshire Avenida;Rústico Savings Malásia;Madeira;Secured Avon cinza;de
7;monitoring;program;Configurable Fresco;Technician scale bypassing;Chapéu JSON
8;Fresco Account;Internal;Mobility Bebê;Versatile interface SSL;Refinado Profound
9;deposit;solutions Marginal;Mobility Sabonete Rua;reboot Buckinghamshire Human;Mouse parsing Berkshire
10;online FTP platforms;Beleza;laranja Buckinghamshire program;Savings;Ergonômico
