id;nome;tipo;peso_material;estimativa_vacinas;resultado;data_teste;data_leitura;preenchimento_espelho;observacoes;valor
1;Macio Internal Computador;madeira Fantástico;Aço;Creative core;Fresco Interactions Central;2021-04-12;2021-04-12;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;92971
2;bypass eyeballs;whiteboard transmitting;Saúde SQL;indexing program invoice;Alameda scale;2021-04-13;2021-04-13;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;75985
3;Salada redundant;Luvas Loan;envisioneer;Computadores;Account matrix;2021-04-12;2021-04-13;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;79698
4;Congelado;optical Rodovia;action-items Automotivo workforce;1080p calculating Agent;Paraíba enterprise;2021-04-12;2021-04-12;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;93439
5;Federal Won application;Avenida applications copying;Inteligente;relationships Computadores;Open-architected Rondônia Configuration;2021-04-12;2021-04-12;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;3589
6;Dynamic;Mercearia Macio;Rua Division Música;monitor;Plástico;2021-04-13;2021-04-12;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;81850
7;innovate;Buckinghamshire compressing cultivate;Rio;EXE Pernambuco Down-sized;Pará Borders dynamic;2021-04-12;2021-04-13;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;82187
8;Lustroso Representative;SMTP Supervisor;Música Legacy;digital Virtual payment;marinho Afeganistão workforce;2021-04-12;2021-04-13;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;21532
9;Enhanced Gerais Future;mesh front-end Noruega;Investor Account USB;interfaces Avenida Direct;moderator methodologies;2021-04-12;2021-04-12;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;33933
10;Krona;synthesize;primary magnetic SMTP;out-of-the-box synergize;cinza matrix;2021-04-12;2021-04-12;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;92375
