id;tipo_propriedade;numero_animais;acometidos;observacoes;pricipal_suspeita;tipo_criacao;endereco_id
1;invoice invoice;15728;transmitting Santa Lustroso;../fake-data/blob/hipster.txt;púrpura Jogos;service-desk Granito intangible;1
2;Aço;74531;Avenida;../fake-data/blob/hipster.txt;benchmark visionary roxo;mission-critical Suazilândia sexy;2
3;compressing Account;67066;invoice compressing reinvent;../fake-data/blob/hipster.txt;Avenida;Congelado Facilitator Reactive;3
4;models attitude;77559;Rua Monitored Metal;../fake-data/blob/hipster.txt;matrices Plástico;Peso;4
5;moratorium Algodão Optional;58728;open-source overriding;../fake-data/blob/hipster.txt;Vision-oriented;Focused Versatile Cambridgeshire;6
6;Human;77792;Roraima circuit Música;../fake-data/blob/hipster.txt;Avon;âmbar Operative Data;5
7;Cambridgeshire Communications;96176;compelling haptic Cambridgeshire;../fake-data/blob/hipster.txt;interface à;demand-driven Jogos Ucrânia;7
8;Zambian deposit Congelado;48910;Catarina Livros real-time;../fake-data/blob/hipster.txt;Ilha intangible;Euro Mali;8
9;Teclado;31539;Avon Taiwan;../fake-data/blob/hipster.txt;Solutions SDD Account;Rial Checking;9
10;up;36879;Card Facilitator;../fake-data/blob/hipster.txt;payment SCSI;Micronésia;10
