id;status;peso_material;estimativa_vacinas;data_conclusao;observacoes
1;online;Account Pequeno bordô;1080p UAE;2021-05-02;../fake-data/blob/hipster.txt
2;optical Market;Investor encoding;Amazonas;2021-05-02;../fake-data/blob/hipster.txt
3;Future-proofed workforce;Chapéu;escarlate Alameda;2021-05-02;../fake-data/blob/hipster.txt
4;Money;Macio Directives Sabonete;Adaptive empowering;2021-05-02;../fake-data/blob/hipster.txt
5;Algodão Paraná withdrawal;Configuration Concreto;synergize Rondônia Concreto;2021-05-02;../fake-data/blob/hipster.txt
6;port cenoura;Loan synthesizing methodology;monitoring;2021-05-02;../fake-data/blob/hipster.txt
7;system-worthy invoice Berkshire;Alameda Lats Burundi;Avenida;2021-05-02;../fake-data/blob/hipster.txt
8;Product;Jardim Singapura moderator;Checking Account Rua;2021-05-02;../fake-data/blob/hipster.txt
9;turquesa dot-com contextually-based;salmão Pizza Ilhas;Balanced multi-byte Equador;2021-05-02;../fake-data/blob/hipster.txt
10;stable;grená synthesizing;seize Berkshire;2021-05-01;../fake-data/blob/hipster.txt
